"city","country","count"
"Aurora","United States","2"
"So Leopoldo","Brazil","1"
"Atlixco","Mexico","1"
"Pingxiang","China","1"
"Adoni","India","1"
"Dhule (Dhulia)","India","1"
"Kurashiki","Japan","1"
"Xintai","China","1"
"Sivas","Turkey","1"
"Celaya","Mexico","1"
"Ozamis","Philippines","1"
"Nezahualcyotl","Mexico","1"
"Jakarta","Indonesia","1"
"San Bernardino","United States","1"
"Weifang","China","1"
"Baybay","Philippines","1"
"Niznekamsk","Russian Federation","1"
"Kursk","Russian Federation","1"
"Kaliningrad","Russian Federation","1"
"Etawah","India","1"
"Sambhal","India","1"
"Cavite","Philippines","1"
"Xinxiang","China","1"
"Salamanca","Mexico","1"
"Grand Prairie","United States","1"
"Tarsus","Turkey","1"
"Tiefa","China","1"
"Jaroslavl","Russian Federation","1"
"Brockton","United States","1"
"Urawa","Japan","1"
"Aparecida de Goinia","Brazil","1"
"Pathankot","India","1"
"Rae Bareli","India","1"
"Nanyang","China","1"
"Sunnyvale","United States","1"
"Hoshiarpur","India","1"
"Katihar","India","1"
"Izumisano","Japan","1"
"Tieli","China","1"
"Salinas","United States","1"
"Tallahassee","United States","1"
"Zapopan","Mexico","1"
"Bhavnagar","India","1"
"Warren","United States","1"
"Carmen","Mexico","1"
"Tanauan","Philippines","1"
"San Felipe del Progreso","Mexico","1"
"Amroha","India","1"
"Jelets","Russian Federation","1"
"Monclova","Mexico","1"
"Udaipur","India","1"
"Mysore","India","1"
"Sagamihara","Japan","1"
"Munger (Monghyr)","India","1"
"Anpolis","Brazil","1"
"Lincoln","United States","1"
"Iwatsuki","Japan","1"
"Tokat","Turkey","1"
"Yuncheng","China","1"
"Zaoyang","China","1"
"Tarlac","Philippines","1"
"Baicheng","China","1"
"Zalantun","China","1"
"Acua","Mexico","1"
"Kirovo-Tepetsk","Russian Federation","1"
"Allappuzha (Alleppey)","India","1"
"Ahmadnagar","India","1"
"Dayton","United States","1"
"Higashiosaka","Japan","1"
"Tongliao","China","1"
"Karnal","India","1"
"Siliguri (Shiliguri)","India","1"
"Cuauhtmoc","Mexico","1"
"Shimoga","India","1"
"Jinzhou","China","1"
"Gandhinagar","India","1"
"Atinsk","Russian Federation","1"
"Shenzhen","China","1"
"Yinchuan","China","1"
"Tsuyama","Japan","1"
"Inegl","Turkey","1"
"Santa Brbara dOeste","Brazil","1"
"Kolpino","Russian Federation","1"
"Batman","Turkey","1"
"Angra dos Reis","Brazil","1"
"Gorontalo","Indonesia","1"
"Bijapur","India","1"
"Cuautla","Mexico","1"
"Ibirit","Brazil","1"
"Coacalco de Berriozbal","Mexico","1"
"Xiangfan","China","1"
"Hubli-Dharwad","India","1"
"Bislig","Philippines","1"
"Varanasi (Benares)","India","1"
"Bhusawal","India","1"
"Ivanovo","Russian Federation","1"
"Miraj","India","1"
"Pemalang","Indonesia","1"
"Zhoushan","China","1"
"Fuyu","China","1"
"Fontana","United States","1"
"Denizli","Turkey","1"
"Goinia","Brazil","1"
"Saint Louis","United States","1"
"Halisahar","India","1"
"Gulbarga","India","1"
"Kansas City","United States","1"
"Augusta-Richmond County","United States","1"
"Usolje-Sibirskoje","Russian Federation","1"
"Sorocaba","Brazil","1"
"Changzhou","China","1"
"Ezhou","China","1"
"Fukuyama","Japan","1"
"Moscow","Russian Federation","1"
"Chandrapur","India","1"
"Gaziantep","Turkey","1"
"Valparai","India","1"
"Haining","China","1"
"Lancaster","United States","1"
"Poos de Caldas","Brazil","1"
"Jining","China","1"
"Yingkou","China","1"
"Lipetsk","Russian Federation","1"
"Matamoros","Mexico","1"
"Isesaki","Japan","1"
"Junan","China","1"
"Santo Andr","Brazil","1"
"Fuzhou","China","1"
"Binzhou","China","1"
"Smolensk","Russian Federation","1"
"Lengshuijiang","China","1"
"Shimonoseki","Japan","1"
"Kanazawa","Japan","1"
"Tegal","Indonesia","1"
"Huejutla de Reyes","Mexico","1"
"Bayugan","Philippines","1"
"Pjatigorsk","Russian Federation","1"
"Tuguegarao","Philippines","1"
"Ciparay","Indonesia","1"
"Hiroshima","Japan","1"
"guas Lindas de Gois","Brazil","1"
"Mexicali","Mexico","1"
"Otsu","Japan","1"
"Palghat (Palakkad)","India","1"
"Pachuca de Soto","Mexico","1"
"Joliet","United States","1"
"Shanwei","China","1"
"Po","Brazil","1"
"Akron","United States","1"
"Enshi","China","1"
"Kamyin","Russian Federation","1"
"Maikop","Russian Federation","1"
"Hidalgo","Mexico","1"
"Yuzhou","China","1"
"Santa Rosa","Philippines","1"
"Garden Grove","United States","1"
"Alvorada","Brazil","1"
"Hino","Japan","1"
"Greensboro","United States","1"
"Araatuba","Brazil","1"
"Jinchang","China","1"
"Cape Coral","United States","1"
"Jodhpur","India","1"
"Dzerzinsk","Russian Federation","1"
"Vitria de Santo Anto","Brazil","1"
"Tambaram","India","1"
"Vijayawada","India","1"
"Chapra","India","1"
"Ljubertsy","Russian Federation","1"
"Jaipur","India","1"
"So Bernardo do Campo","Brazil","1"
"Bag","Brazil","1"
"Kilis","Turkey","1"
"Parbhani","India","1"
"Bellevue","United States","1"
"Cabuyao","Philippines","1"
"Madiun","Indonesia","1"
"Korolev","Russian Federation","1"
"Ambattur","India","1"
"Yamuna Nagar","India","1"
"Torren","Mexico","1"
"Jhansi","India","1"
"Emeishan","China","1"
"Korla","China","1"
"Ktahya","Turkey","1"
"Sterling Heights","United States","1"
"Laredo","United States","1"
"Clarksville","United States","1"
"Coatzacoalcos","Mexico","1"
"Rio Claro","Brazil","1"
"La Paz","Mexico","1"
"Sasebo","Japan","1"
"Bhilwara","India","1"
"Balaiha","Russian Federation","1"
"Rizhao","China","1"
"Baiyin","China","1"
"Balurghat","India","1"
"Iwakuni","Japan","1"
